   1	   1	      1.33776129
   1	   2	     -0.27353494
   1	   3	      0.56798183
   1	   4	      0.76726175
   1	   5	     -0.76564860
   1	   6	     -0.29442848
   2	   1	     -0.27353721
   2	   2	      1.00659248
   2	   3	     -0.34350118
   2	   4	      0.06962250
   2	   5	     -0.06947506
   2	   6	     -0.66404941
   3	   1	      0.56786532
   3	   2	     -0.34373464
   3	   3	      0.71371257
   3	   4	     -0.14453720
   3	   5	      0.14423110
   3	   6	     -0.37000029
   4	   1	      0.76685612
   4	   2	      0.06958509
   4	   3	     -0.14449036
   4	   4	      0.91266271
   4	   5	     -0.91079714
   4	   6	      0.07490059
   5	   1	     -0.76576040
   5	   2	     -0.06948463
   5	   3	      0.14428177
   5	   4	     -0.91045228
   5	   5	      0.91531343
   5	   6	     -0.07479246
   6	   1	     -0.29443000
   6	   2	     -0.66404763
   6	   3	     -0.36972349
   6	   4	      0.07494063
   6	   5	     -0.07478192
   6	   6	      1.03725305
