   1	   1	      1.33723397
   1	   2	     -0.27351943
   1	   3	      0.56793119
   1	   4	      0.76640195
   1	   5	     -0.76624968
   1	   6	     -0.29441843
   2	   1	     -0.27352247
   2	   2	      1.00703767
   2	   3	     -0.34371384
   2	   4	      0.06953363
   2	   5	     -0.06951984
   2	   6	     -0.66400583
   3	   1	      0.56778839
   3	   2	     -0.34399672
   3	   3	      0.71500384
   3	   4	     -0.14434092
   3	   5	      0.14431228
   3	   6	     -0.37030325
   4	   1	      0.76590518
   4	   2	      0.06948775
   4	   3	     -0.14428355
   4	   4	      0.91335468
   4	   5	     -0.91212792
   4	   6	      0.07479750
   5	   1	     -0.76655775
   5	   2	     -0.06954702
   5	   3	      0.14440661
   5	   4	     -0.91194974
   5	   5	      0.91501506
   5	   6	     -0.07486130
   6	   1	     -0.29446106
   6	   2	     -0.66409522
   6	   3	     -0.37003675
   6	   4	      0.07485690
   6	   5	     -0.07484204
   6	   6	      1.03786131
